id,abstract,year,month,day,journal
24430248,ACM;P53,1971,1,1,TAG. Theoretical and applied genetics. Theoretische und angewandte Genetik
16097655,CAMK2A,1971,1,1,Annual review of genetics
16097653,CAMK2A;ELK1,1971,1,1,Annual review of genetics
16097649,ELK1;CAMK2A,1971,1,1,Annual review of genetics
14978855,TELK1;CAMK2A,1971,1,1,European journal of immunology
5581979,Genetic aspects of tuberous sclerosis in a Chinese population.,1971,1,1,American journal of human genetics
5581978,The inbreeding load in Brazilian whites and negroes as estimated with sib and cousin controls.,1971,1,1,American journal of human genetics
5581977,Complex segregation analysis. II. Multiple classification.,1971,1,1,American journal of human genetics
5576061,"[Biochemical, histological and clinical findings in a four-year-old female carrier of benign X-linked muscular dystrophy (Becker type)].",1971,1,1,Humangenetik
5575021,[Symptoms of radiation disease and various radiation sequelae in man with special reference to the victims of the Hiroshima and Nagasaki atomic explosions].,1971,1,1,Przeglad lekarski
5574381,Incidence of Gm-1 in Indians in Bombay.,1971,1,1,The Indian journal of medical research
5571047,A new form of heredo-familial spinocerebellar degeneration with slow eye movements (nine families).,1971,1,1,Brain : a journal of neurology
5571046,Dominant spino-pontine atrophy. Report of a family through three generations.,1971,1,1,Brain : a journal of neurology
5570562,"Glucose-6-phosphate dehydrogenase deficiency, hemoglobin and haptoglobin types in Mexicans and American Negroes.",1971,1,1,Texas reports on biology and medicine
5568974,The detection of increased mutation rates in human populations.,1971,1,1,Perspectives in biology and medicine
5568733,The adenylate kinase (AK)-groups in the Swiss population.,1971,1,1,Humangenetik
5568731,Pseudocholinesterase polymorphism among Lapp populations in Finland.,1971,1,1,Humangenetik
5568730,"Adenylate kinase polymorphism in populations in Finland (Swedes, Finns, Lapps), in Maris, and in Greenland Eskimos.",1971,1,1,Humangenetik
5568113,The red cell acid phosphatase polymorphism in Sweden. Gene frequencies and application to disputed paternity.,1971,1,1,Acta geneticae medicae et gemellologiae
5567688,Origin of mitochondria: are they descendants of ancestral bacteria.,1971,1,1,Triangle; the Sandoz journal of medical science
5564357,Investigations on the geographical variability of the human transferrins.,1971,1,1,Humangenetik
